customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CU-10028,Female,1,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,92.98,571.91,1
CU-10029,Male,0,No,No,0,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,69.15,0.0,1
CU-10030,Male,0,Yes,No,16,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,76.64,1232.88,0
CU-10031,Male,0,No,No,51,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,61.59,3124.91,1
CU-10032,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.81,1484.35,0
CU-10033,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,97.47,606.12,1
CU-10034,Female,1,No,No,55,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,88.01,4856.78,0
CU-10035,Male,1,No,No,21,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,69.01,1448.21,0
CU-10036,Female,0,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),83.28,2749.31,0
CU-10037,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),96.38,2693.45,1
CU-10038,Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),66.7,374.39,0
CU-10039,Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),83.11,697.53,1
CU-10040,Male,0,Yes,No,17,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),54.33,921.09,1
CU-10041,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.59,1127.89,1
CU-10042,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,75.51,63.04,1
CU-10043,Male,0,Yes,No,65,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),74.71,4867.22,0
CU-10044,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,26.51,479.3,0
CU-10045,Female,0,No,No,45,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,58.76,2648.37,0
CU-10046,Male,0,No,No,68,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.25,6078.01,0
CU-10047,Female,0,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),80.52,4692.11,0
CU-10048,Female,0,Yes,Yes,43,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,48.08,2085.12,0
CU-10049,Female,0,Yes,No,21,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.75,1490.85,0
CU-10050,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.67,2347.45,1
CU-10051,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,94.22,6320.75,0
CU-10052,Male,0,Yes,No,43,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),65.35,2816.03,0
CU-10053,Male,0,Yes,Yes,47,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.25,3276.37,1
CU-10054,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.19,1247.09,0
CU-10055,Male,1,Yes,Yes,30,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),54.41,1645.56,0
CU-10056,Female,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,45.55,102.99,1
CU-10057,Male,0,No,No,42,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),63.96,2695.29,0
CU-10058,Female,0,No,No,7,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),55.12,355.91,0
CU-10059,Female,1,No,No,15,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.52,900.55,1
CU-10060,Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),78.54,251.14,1
CU-10061,Female,1,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.57,805.18,0
CU-10062,Male,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.38,4842.21,0
CU-10063,Female,0,Yes,Yes,18,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,75.75,1329.02,0
CU-10064,Male,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),56.33,51.12,0
CU-10065,Male,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,295.79,1
CU-10066,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,87.36,161.44,1
CU-10067,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.83,46.73,0
CU-10068,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.58,4116.8,1
CU-10069,Male,1,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,97.21,1934.52,1
CU-10070,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.54,95.54,0
CU-10071,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),77.09,347.11,1
CU-10072,Male,0,No,No,27,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),70.75,1951.98,1
CU-10073,Male,0,Yes,Yes,63,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.21,3050.66,0
CU-10074,Female,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.42,184.81,1
CU-10075,Male,1,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.17,37.89,0
CU-10076,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,79.94,5768.09,0
CU-10077,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.71,186.87,1
CU-10078,Female,0,No,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,91.74,6511.27,0
CU-10079,Female,0,No,No,40,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),73.5,2918.17,0
CU-10080,Female,0,Yes,Yes,63,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,55.97,3502.53,0
CU-10081,Male,0,No,No,48,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,64.86,3102.71,0
CU-10082,Male,0,Yes,No,11,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),75.96,841.23,0
CU-10083,Female,1,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.24,96.89,0
CU-10084,Female,1,Yes,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.04,41.8,1
CU-10085,Female,1,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.14,356.77,0
CU-10086,Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,85.79,846.37,0
CU-10087,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),87.63,5242.86,0
CU-10088,Female,1,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.51,1083.88,0
CU-10089,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,78.5,249.26,0
CU-10090,Male,0,No,No,25,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,54.73,1337.62,0
CU-10091,Female,0,No,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.9,107.43,1
CU-10092,Female,0,No,No,11,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Mailed check,43.0,445.31,0
CU-10093,Male,0,No,No,2,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.49,186.21,1
CU-10094,Female,1,No,No,48,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,96.85,4678.26,0
CU-10095,Male,0,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,84.87,3515.85,0
CU-10096,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,82.01,3545.19,1
CU-10097,Female,0,No,No,6,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),79.15,522.72,1
CU-10098,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.37,57.78,0
CU-10099,Male,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,76.9,2565.43,1
CU-10100,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.2,42.12,0
CU-10101,Male,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.29,233.71,0
CU-10102,Female,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,95.77,1333.06,1
CU-10103,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.23,51.33,0
CU-10104,Female,1,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,96.84,4422.42,0
CU-10105,Female,0,Yes,No,11,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.18,705.97,0
CU-10106,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.36,437.39,0
CU-10107,Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.08,708.6,0
CU-10108,Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),92.7,259.11,1
CU-10109,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,80.41,325.23,0
CU-10110,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),77.04,2024.97,0
CU-10111,Female,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.27,1492.91,0
CU-10112,Female,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,95.41,4999.26,0
CU-10113,Male,0,Yes,Yes,14,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,47.02,686.45,1
CU-10114,Female,0,No,Yes,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.17,2789.29,0
CU-10115,Female,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,88.27,4369.02,1
CU-10116,Male,0,No,Yes,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.48,2550.92,1
CU-10117,Male,0,Yes,Yes,44,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,88.35,3907.25,0
CU-10118,Male,0,No,No,54,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,73.73,3988.39,1
CU-10119,Male,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,88.64,3263.73,0
CU-10120,Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.37,609.14,1
CU-10121,Female,1,Yes,Yes,16,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,65.37,1096.7,0
CU-10122,Female,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,95.55,504.23,0
CU-10123,Male,0,Yes,No,67,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),63.44,4272.72,1
CU-10124,Female,1,No,Yes,1,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,64.71,49.08,0
CU-10125,Female,0,Yes,Yes,5,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),45.46,245.0,1
CU-10126,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,4094.2,0
CU-10127,Female,1,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.35,541.9,0
CU-10128,Female,0,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.9,781.42,0
CU-10129,Female,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.62,291.04,0
CU-10130,Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,80.83,3738.62,0
CU-10131,Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,77.92,621.17,0
CU-10132,Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),78.32,5181.3,0
CU-10133,Female,1,Yes,No,38,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),42.72,1661.89,0
CU-10134,Female,1,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,84.93,1285.62,0
CU-10135,Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.95,346.18,0
CU-10136,Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),94.97,126.34,1
CU-10137,Male,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.4,1304.61,0
CU-10138,Male,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),76.87,844.83,0
CU-10139,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,92.54,265.78,1
CU-10140,Female,1,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),85.46,191.16,1
CU-10141,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.81,1892.2,1
CU-10142,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.25,1258.82,0
CU-10143,Male,0,No,No,19,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,61.42,1174.98,0
CU-10144,Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),73.46,3600.16,0
CU-10145,Female,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.97,489.6,0
CU-10146,Male,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),76.86,3310.52,0
CU-10147,Male,1,Yes,Yes,67,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),82.22,5506.13,0
CU-10148,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.17,269.02,0
CU-10149,Male,0,Yes,No,58,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,65.02,3780.41,0
CU-10150,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.8,1228.16,0
CU-10151,Male,0,No,No,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),74.81,4692.06,0
CU-10152,Female,1,No,No,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,72.79,0.22,1
CU-10153,Male,0,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,86.35,3037.64,1
CU-10154,Male,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.76,5067.24,0
CU-10155,Female,0,No,No,2,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,56.64,59.34,0
CU-10156,Male,1,No,No,55,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,68.29,3720.99,0
CU-10157,Female,0,No,No,6,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,77.09,463.56,0
CU-10158,Female,1,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),77.41,5601.5,1
CU-10159,Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),82.89,816.88,1
CU-10160,Female,0,No,No,0,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),67.46,16.72,0
CU-10161,Female,1,Yes,No,17,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),54.72,979.69,0
CU-10162,Male,1,No,No,58,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,85.69,4970.28,1
CU-10163,Male,1,Yes,No,59,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.8,4466.5,0
CU-10164,Male,0,Yes,No,17,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),66.04,1134.48,0
CU-10165,Female,0,Yes,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),81.88,4426.02,1
CU-10166,Male,0,No,No,46,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.52,3020.3,0
CU-10167,Male,0,No,No,41,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,51.36,2101.24,0
CU-10168,Male,1,No,No,45,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,94.07,4226.72,1
CU-10169,Male,1,Yes,No,26,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.36,1830.25,0
CU-10170,Male,0,Yes,Yes,23,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,61.96,1440.41,1
CU-10171,Male,0,No,No,8,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,73.58,562.65,0
CU-10172,Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.17,1284.75,0
CU-10173,Female,0,No,No,12,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),78.42,911.09,0
CU-10174,Female,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,96.82,475.95,1
CU-10175,Male,0,No,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,102.79,6168.05,1
CU-10176,Female,0,No,No,44,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,56.07,2439.59,0
CU-10177,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,74.83,292.66,1
CU-10178,Female,0,Yes,No,7,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,76.2,537.44,0
CU-10179,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,78.68,2242.49,0
